,year,metro,id,sex,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
7367,2020,G1,411700311,2,59,1,4,3,60155,9000,4368,3327,S,4,1,12
7368,2020,G1,411700331,1,65,3,2,2,43195,0,4838,4569,,,1,6
7369,2020,G1,411700371,1,60,1,2,4,16463,0,3062,2847,F,9,2,6
7370,2020,G1,411700391,1,50,1,6,4,18440,90,5028,4366,P,2,3,16
7371,2020,G1,411800121,1,39,3,4,1,10500,0,7076,6549,,,3,12
7372,2020,G1,411800131,2,61,2,5,4,57512,2200,5888,5342,,,1,14
7373,2020,G1,411800151,1,42,3,4,2,41212,15550,3101,2478,C,7,1,12
7374,2020,G1,411800171,1,76,3,3,2,72000,200,8163,2289,P,3,1,9
7375,2020,G2,411800201,2,45,6,5,2,51578,17200,19588,16124,K,5,1,14
7376,2020,G2,411800211,1,55,3,5,2,157280,0,6469,3124,C,8,1,14
7377,2020,G2,411800221,2,66,1,4,3,71049,0,8874,6781,,,1,12
7378,2020,G2,411800231,1,61,2,4,2,51005,11400,6442,4852,G,3,1,12
7379,2020,G2,411800241,1,70,2,4,2,259900,25000,57968,36624,C,1,1,12
7380,2020,G1,411800301,2,49,1,4,3,1030,10000,1439,1438,,,3,12
7381,2020,G1,411800311,1,46,4,6,2,78440,7000,9053,7486,C,3,1,16
7382,2020,G1,411800331,1,46,4,6,2,82900,45340,12002,9643,P,2,1,16
7383,2020,G1,411800351,1,62,4,6,2,118934,61135,8235,-1432,,,3,16
7384,2020,G1,411800371,1,33,2,6,2,45570,32250,12669,10361,M,2,1,16
7385,2020,G1,411800381,1,53,1,4,1,90,0,1963,1962,,,5,12
7386,2020,G1,411900101,1,40,1,6,1,7300,10000,5619,4094,O,4,5,16
7387,2020,G1,411900141,2,67,2,4,2,3300,0,1872,1737,N,9,2,12
7388,2020,G1,411900151,2,42,1,4,1,4306,880,2200,2181,I,4,3,12
7389,2020,G1,411900161,1,27,1,6,1,6410,0,1901,1769,J,2,2,16
7390,2020,G1,411900171,1,50,3,6,2,4540,100,5089,4635,,,3,16
7391,2020,G1,411900181,2,34,3,4,4,510,1500,1422,1422,,,3,12
7392,2020,G2,411900211,1,73,2,4,2,25507,0,2593,2578,N,9,1,12
7393,2020,G2,411900221,1,69,4,2,2,18825,0,4138,3767,,,1,6
